date,close_price
2018-01-01,432.5738830566406
2018-01-02,430.96246337890625
2018-01-03,427.44683837890625
2018-01-04,424.9775390625
2018-01-05,423.55450439453125
2018-01-08,433.62017822265625
2018-01-09,435.8383483886719
2018-01-10,440.40032958984375
2018-01-11,450.2568359375
2018-01-12,451.36590576171875
2018-01-15,452.4959716796875
2018-01-16,469.9487609863281
2018-01-17,482.1907958984375
2018-01-18,482.44189453125
2018-01-19,478.5705261230469
2018-01-22,481.31195068359375
2018-01-23,492.654052734375
2018-01-24,496.2952575683594
2018-01-25,491.9426574707031
2018-01-29,495.0816345214844
2018-01-30,489.9546203613281
2018-01-31,481.41656494140625
2018-02-01,479.0518493652344
2018-02-02,478.4867858886719
2018-02-05,476.3732604980469
2018-02-06,463.6289367675781
2018-02-07,464.1730041503906
2018-02-08,474.72003173828125
2018-02-09,464.2148742675781
2018-02-12,461.55718994140625
2018-02-14,459.443603515625
2018-02-15,466.43310546875
2018-02-16,472.1250305175781
2018-02-19,473.6736755371094
2018-02-20,475.8501281738281
2018-02-21,480.22369384765625
2018-02-22,485.8110046386719
2018-02-23,483.6766357421875
2018-02-26,476.54058837890625
2018-02-27,481.3955383300781
2018-02-28,490.7707824707031
2018-03-01,485.8110046386719
2018-03-05,483.7812194824219
2018-03-06,481.8768310546875
2018-03-07,478.8425598144531
2018-03-08,484.0951843261719
2018-03-09,486.9201354980469
2018-03-12,496.2744445800781
2018-03-13,495.4582824707031
2018-03-14,494.20269775390625
2018-03-15,494.9141845703125
2018-03-16,490.4777526855469
2018-03-19,479.9516906738281
2018-03-20,487.4017028808594
2018-03-21,488.6361999511719
2018-03-22,486.0413513183594
2018-03-23,488.67803955078125
2018-03-26,483.5091857910156
2018-03-27,482.986083984375
2018-03-28,473.6946716308594
2018-04-02,475.9337158203125
2018-04-03,477.31475830078125
2018-04-04,470.5137023925781
2018-04-05,480.2864990234375
2018-04-06,471.685791015625
2018-04-09,465.0937805175781
2018-04-10,465.99365234375
2018-04-11,470.5346984863281
2018-04-12,486.58544921875
2018-04-13,490.2893981933594
2018-04-16,474.2806396484375
2018-04-17,470.9322814941406
2018-04-18,471.2462463378906
2018-04-19,474.13397216796875
2018-04-20,493.2191162109375
2018-04-23,497.0904541015625
2018-04-24,483.19525146484375
2018-04-25,485.6437683105469
2018-04-26,492.3820495605469
2018-04-27,496.044189453125
2018-04-30,502.02923583984375
2018-05-02,501.00390625
2018-05-03,494.9351501464844
2018-05-04,490.9800109863281
2018-05-07,495.1235046386719
2018-05-08,487.8200988769531
2018-05-09,489.9754638671875
2018-05-10,488.8454284667969
2018-05-11,494.1818542480469
2018-05-14,497.76025390625
2018-05-15,499.95758056640625
2018-05-16,498.0322570800781
2018-05-17,495.0816345214844
2018-05-18,495.20709228515625
2018-05-21,493.6585388183594
2018-05-22,499.66455078125
2018-05-23,495.9187316894531
2018-05-24,511.02777099609375
2018-05-25,514.0830078125
2018-05-28,508.26544189453125
2018-05-29,509.2279968261719
2018-05-30,507.1353759765625
2018-05-31,515.5479125976562
2018-06-01,510.9440612792969
2018-06-04,518.7286376953125
2018-06-05,510.9648742675781
2018-06-06,517.9124755859375
2018-06-07,524.1904907226562
2018-06-08,527.3714599609375
2018-06-11,528.3549194335938
2018-06-12,526.7225952148438
2018-06-13,533.5448608398438
2018-06-14,527.3342895507812
2018-06-15,545.0084838867188
2018-06-18,539.1171264648438
2018-06-19,528.142578125
2018-06-20,528.8018798828125
2018-06-21,530.248046875
2018-06-22,530.801025390625
2018-06-25,541.26513671875
2018-06-26,543.5623168945312
2018-06-27,540.2230834960938
2018-06-28,548.560302734375
2018-06-29,556.0469360351562
2018-07-02,567.74462890625
2018-07-03,575.8479614257812
2018-07-04,572.2110595703125
2018-07-05,546.1782836914062
2018-07-06,546.2846069335938
2018-07-09,552.4951171875
2018-07-10,553.5797119140625
2018-07-11,561.68310546875
2018-07-12,550.5809326171875
2018-07-13,560.3856811523438
2018-07-16,566.9576416015625
2018-07-17,564.8522338867188
2018-07-18,562.5762939453125
